epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,27950.9,1.26944,1.02897,2.19268,0.81542,0.75554,0.78715,0.46504,1.2804,1.04067,2.35959,0.000835112,0.000835112,0.000835112
58,28439.8,1.27131,0.99624,2.21089,0.79441,0.7679,0.78713,0.46429,1.28324,1.03665,2.36197,0.000815756,0.000815756,0.000815756
59,28927.9,1.27119,0.99734,2.20911,0.80759,0.76175,0.79154,0.46695,1.26787,1.02372,2.34528,0.000796359,0.000796359,0.000796359
60,29415.8,1.27041,1.01888,2.20738,0.81479,0.75297,0.78874,0.46789,1.2696,1.03979,2.34467,0.000776936,0.000776936,0.000776936
61,29901,1.26748,1.0015,2.20411,0.81855,0.74781,0.78858,0.46685,1.27253,1.03086,2.34823,0.0007575,0.0007575,0.0007575
62,30389.1,1.25522,0.98384,2.19424,0.81416,0.75863,0.78967,0.46873,1.26871,1.04217,2.33247,0.000738064,0.000738064,0.000738064
63,30880.6,1.25707,0.98609,2.19397,0.81795,0.75504,0.78974,0.46889,1.26047,1.02169,2.3282,0.000718641,0.000718641,0.000718641
64,31370.3,1.25156,1.00078,2.19416,0.81096,0.76576,0.79921,0.47596,1.26142,1.01989,2.33219,0.000699244,0.000699244,0.000699244
65,31859.9,1.24544,0.97663,2.17143,0.81122,0.76589,0.80065,0.47844,1.25983,1.01396,2.33023,0.000679888,0.000679888,0.000679888
66,32352.4,1.25008,0.98606,2.19684,0.81424,0.76637,0.80342,0.47951,1.25927,1.01975,2.33106,0.000660584,0.000660584,0.000660584
67,32843.6,1.24285,0.97246,2.18594,0.82598,0.76827,0.80827,0.48341,1.25844,1.00496,2.33012,0.000641347,0.000641347,0.000641347
68,33329.6,1.24122,0.96379,2.17842,0.84117,0.75963,0.8089,0.48386,1.25811,0.98583,2.32938,0.00062219,0.00062219,0.00062219
69,33817.6,1.22862,0.96051,2.16792,0.83796,0.75827,0.80625,0.48175,1.26126,0.97513,2.33123,0.000603126,0.000603126,0.000603126
70,34306.7,1.22613,0.94386,2.16082,0.82355,0.76942,0.8066,0.48234,1.25591,0.97744,2.32769,0.000584167,0.000584167,0.000584167
71,34796.5,1.22892,0.95208,2.16376,0.83246,0.76099,0.80761,0.48332,1.25259,0.96889,2.32317,0.000565327,0.000565327,0.000565327
72,35286,1.22826,0.93891,2.15044,0.83931,0.75353,0.80651,0.48408,1.25349,0.96298,2.3266,0.000546619,0.000546619,0.000546619
73,35779.5,1.23056,0.95137,2.18172,0.84327,0.75197,0.8089,0.48504,1.25229,0.95394,2.32574,0.000528055,0.000528055,0.000528055
74,36267.8,1.22862,0.94143,2.15953,0.84082,0.7577,0.80888,0.48569,1.25214,0.9507,2.32463,0.000509648,0.000509648,0.000509648
75,36755.2,1.22537,0.92438,2.17254,0.83752,0.75538,0.80804,0.48474,1.25025,0.95,2.32269,0.000491412,0.000491412,0.000491412
76,37242.8,1.22083,0.93409,2.1495,0.83314,0.76563,0.81355,0.48666,1.24912,0.95208,2.31912,0.000473358,0.000473358,0.000473358
77,37732.6,1.21077,0.92355,2.14624,0.82719,0.76958,0.81383,0.48817,1.24996,0.95372,2.31742,0.000455498,0.000455498,0.000455498
78,38221.5,1.19534,0.89881,2.12025,0.83421,0.77049,0.81496,0.48911,1.24844,0.95199,2.31645,0.000437846,0.000437846,0.000437846
79,38711.6,1.20342,0.90885,2.13296,0.8306,0.77339,0.81667,0.49135,1.24764,0.95162,2.31715,0.000420412,0.000420412,0.000420412
80,39195.3,1.20646,0.91346,2.12773,0.84123,0.7697,0.81711,0.49148,1.24869,0.94827,2.31718,0.00040321,0.00040321,0.00040321
81,39681.9,1.18564,0.87574,2.10776,0.844,0.76429,0.8171,0.49192,1.24726,0.94491,2.31542,0.00038625,0.00038625,0.00038625
82,40171.4,1.19193,0.90283,2.12681,0.83995,0.76526,0.81589,0.49239,1.24595,0.94087,2.31376,0.000369545,0.000369545,0.000369545
83,40655.8,1.19722,0.90949,2.11563,0.83231,0.77282,0.81662,0.49339,1.24476,0.94029,2.31083,0.000353106,0.000353106,0.000353106
84,41143.2,1.18194,0.86743,2.09181,0.82934,0.77868,0.81757,0.49364,1.24412,0.94107,2.30979,0.000336943,0.000336943,0.000336943
85,41630.6,1.17856,0.86284,2.09584,0.82871,0.77751,0.81693,0.49273,1.24478,0.94243,2.30979,0.000321069,0.000321069,0.000321069
86,42118.8,1.17214,0.86608,2.10016,0.83088,0.77688,0.81804,0.49335,1.24464,0.94571,2.30894,0.000305495,0.000305495,0.000305495
87,42607.4,1.18157,0.87222,2.10654,0.83287,0.77702,0.81825,0.49282,1.24482,0.94553,2.30984,0.00029023,0.00029023,0.00029023
88,43095.1,1.18921,0.88632,2.11989,0.82679,0.77936,0.81795,0.49302,1.24476,0.94844,2.30954,0.000275285,0.000275285,0.000275285
89,43582.9,1.17646,0.86625,2.08265,0.83029,0.78087,0.81842,0.49307,1.24576,0.94955,2.31056,0.000260671,0.000260671,0.000260671
90,44072.9,1.17031,0.85536,2.08869,0.83178,0.77812,0.81771,0.49264,1.24555,0.95064,2.30966,0.000246397,0.000246397,0.000246397
91,44564.3,1.16777,0.84827,2.09236,0.82693,0.78104,0.81789,0.49234,1.2459,0.94797,2.3098,0.000232473,0.000232473,0.000232473
92,45055.2,1.16768,0.85039,2.08516,0.8278,0.78111,0.81875,0.4931,1.24522,0.9468,2.30861,0.00021891,0.00021891,0.00021891
93,45543.8,1.16786,0.85067,2.09298,0.83096,0.77894,0.81978,0.49353,1.24495,0.94451,2.30859,0.000205715,0.000205715,0.000205715
94,46031.2,1.15518,0.85511,2.07355,0.83651,0.77698,0.82088,0.49422,1.244,0.94385,2.30677,0.000192899,0.000192899,0.000192899
95,46516.5,1.16559,0.85753,2.08516,0.83826,0.77573,0.82087,0.49552,1.2436,0.94274,2.30594,0.000180469,0.000180469,0.000180469
96,47005.1,1.15708,0.84682,2.08233,0.84142,0.77242,0.821,0.496,1.24353,0.94035,2.3057,0.000168435,0.000168435,0.000168435
97,47494.6,1.16303,0.84703,2.09241,0.84167,0.77289,0.82103,0.4961,1.24341,0.93863,2.30527,0.000156805,0.000156805,0.000156805
98,47980,1.15823,0.84037,2.08323,0.84147,0.77283,0.82123,0.49748,1.24376,0.93579,2.30556,0.000145586,0.000145586,0.000145586
99,48471.4,1.1617,0.84957,2.08918,0.84087,0.77316,0.82124,0.49706,1.24413,0.93523,2.30499,0.000134787,0.000134787,0.000134787
100,48960.8,1.14148,0.83174,2.07441,0.842,0.77313,0.8208,0.49696,1.24408,0.93484,2.30443,0.000124415,0.000124415,0.000124415
101,49449,1.1541,0.83138,2.07666,0.84274,0.77358,0.82092,0.49711,1.24405,0.93381,2.30423,0.000114476,0.000114476,0.000114476
102,49943.4,1.15557,0.826,2.08128,0.84266,0.77403,0.82119,0.49751,1.24396,0.93291,2.30384,0.000104978,0.000104978,0.000104978
103,50434.9,1.14863,0.82415,2.07337,0.84272,0.77468,0.82134,0.49703,1.24371,0.93178,2.30279,9.59277e-05,9.59277e-05,9.59277e-05
104,50922.8,1.14504,0.82195,2.06459,0.84022,0.77622,0.82124,0.49709,1.24321,0.93114,2.30204,8.73304e-05,8.73304e-05,8.73304e-05
105,51412.5,1.1461,0.83647,2.07167,0.83909,0.7781,0.82148,0.49793,1.24334,0.93026,2.30166,7.91925e-05,7.91925e-05,7.91925e-05
106,51918.5,1.07736,0.7322,1.98061,0.84053,0.77718,0.82242,0.49817,1.24355,0.92993,2.30172,7.15194e-05,7.15194e-05,7.15194e-05
107,52409,1.08045,0.73766,1.98804,0.84071,0.7772,0.822,0.49824,1.24321,0.9304,2.30125,6.43165e-05,6.43165e-05,6.43165e-05
108,52896.9,1.07588,0.73076,1.98798,0.84256,0.77705,0.82178,0.49797,1.24343,0.93029,2.30136,5.75887e-05,5.75887e-05,5.75887e-05
109,53386.4,1.07642,0.73584,1.97427,0.84249,0.77813,0.82167,0.49835,1.24364,0.93015,2.30158,5.13405e-05,5.13405e-05,5.13405e-05
110,53878.2,1.0809,0.73847,1.99847,0.84251,0.7761,0.82106,0.4982,1.24347,0.93001,2.30168,4.55763e-05,4.55763e-05,4.55763e-05
111,54367.2,1.07868,0.73652,1.99076,0.84269,0.77628,0.82093,0.4985,1.24315,0.93018,2.30146,4.03001e-05,4.03001e-05,4.03001e-05
112,54853.8,1.06213,0.72624,1.96278,0.84459,0.77444,0.82137,0.49896,1.24296,0.93068,2.30137,3.55153e-05,3.55153e-05,3.55153e-05
113,55337.4,1.08242,0.7363,1.99171,0.84494,0.77353,0.82153,0.49869,1.24273,0.93089,2.30123,3.12254e-05,3.12254e-05,3.12254e-05
114,55823.1,1.06676,0.72699,1.97535,0.84492,0.77335,0.82077,0.49847,1.2427,0.93166,2.30137,2.74332e-05,2.74332e-05,2.74332e-05
115,56309.7,1.06265,0.71829,1.96706,0.84531,0.77279,0.82061,0.49902,1.24234,0.93219,2.30101,2.41414e-05,2.41414e-05,2.41414e-05
116,56798.6,1.07254,0.73297,1.99515,0.84542,0.77296,0.82139,0.49931,1.24226,0.93197,2.3011,2.13522e-05,2.13522e-05,2.13522e-05
117,57284.8,1.07918,0.73127,1.99865,0.8436,0.77401,0.82137,0.4991,1.24207,0.93238,2.3013,1.90675e-05,1.90675e-05,1.90675e-05
118,57776.7,1.06668,0.71647,1.9744,0.84362,0.77359,0.82154,0.49927,1.24207,0.9323,2.30158,1.72889e-05,1.72889e-05,1.72889e-05
119,58258.4,1.06152,0.71074,1.95261,0.84609,0.77243,0.82152,0.49971,1.24206,0.9321,2.30162,1.60176e-05,1.60176e-05,1.60176e-05
120,58746.1,1.06992,0.72076,1.96907,0.84692,0.77192,0.82149,0.50011,1.24216,0.93225,2.30217,1.52544e-05,1.52544e-05,1.52544e-05
